Grapheme	IPA	CLTS	Examples
t͡ɕʰ	tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant	áta_t͡ɕʰoʁó, áŋo_t͡ɕʰoʁó, môːmo_t͡ɕʰoʁó
t͡ʃ	tʃ	voiceless post-alveolar sibilant affricate consonant	almant͡ʃɑː_aməɻwaj, ama_mit͡ʃikʰani_at͡ʃʰeː, ama_mit͡ʃikʰani_kaːkaː
t͡ʃ_ʰ	tʃʰ l	?	pit͡ʃ_ʰlag_pẽːɽ, pit͡ʃ_ʰlag_praː
t͡ʃw	tʃ w	voiceless alveolar stop consonant	punt͡ʃwiʃi, punt͡ʃwiʃije_doːʃi, punt͡ʃwiʃije_wiʃi
t͡ʃʰ	tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant	abat͡ʃʰenmo, ama_mit͡ʃikʰani_at͡ʃʰeː, amaːt͡ʃʰoː
t͡ʃː	tʃː	long voiceless post-alveolar sibilant affricate consonant	les_t͡ʃːiːr, lewisto_t͡ʃːiːr, t͡ʃːiːr
u	u	rounded close back vowel	abeːni_put, abeːni_ʒu, abu
ua	u a	from rounded close back to unrounded open front diphthong	tuamisiː
ue	u e	from rounded close back to unrounded close-mid front diphthong	agaːlaʃue_biːʃ, aːʈʰue_biːʃ, aːʈʰue_dubiʃ
ui	ui	from rounded close back to unrounded close front diphthong	bubui_kata, duiʃi, duiʃo_aʂʈ
uiː	u iː	rounded close back vowel	duiː, nuiː, truiː
uîː	u îː/iː	rounded close back vowel	buîː_namâː, buîː_zgijukmôː, buîː_zgijukpʰôː
uĩ	u ĩ	rounded close back vowel	nuĩ
uə	u ə	from rounded close back to unrounded mid central diphthong	nuə
uː	uː	long rounded close back vowel	[djuː_sat], ajeː_juːs_mu_aɰa, ajeː_juːs_mu_mahma
uːa	uː a	from long rounded close back to unrounded open front diphthong	biːɕiː_ʑe_daɕ_ʑe_duːa, daɕ_ʑe_duːa
uːi	uː i	from long rounded close back to unrounded close front diphthong	duːi, duːi_ɕad, dyːwiʃije_nuːi
uːiː	uː iː	rounded close back vowel	muːiː
ú	ú/u	rounded close back with_high_tone vowel	and͡ʒurú, áta_t͡ɕíkpi_áɕeː_núŋo, áŋo_t͡ɕíkpi_áɕeː_núŋo
ûː	ûː/uː	rounded close back vowel	bûː, bûː_boŋó, dʰjûːɽi
ũ	ũ	nasalized rounded close back vowel	akardatũ, dʑũj, dʑũwe
ũː	ũː	long nasalized rounded close back vowel	aːʃtũːʃ, biʒi_aːʃtũːʃ, biʒi_pũːʃ
ũːi	ũː i	rounded close back vowel	dʑũːi
ũ̥	ũ̥	nasalized devoiced rounded close back vowel	baɽuː_muːmũ̥, muːmũ̥, t͡ʃuɽũː_muːmũ̥
ǔː	ǔː/uː	rounded close back vowel	nǔːʂ
u̥	u̥	devoiced rounded close back vowel	aʈu̥, aːwara_maːlu̥, baːloː_ʃaːjru̥
ṵ	ṵ	creaky rounded close back vowel	kṵʈ, sṵ, ʂumṵr
ṵː	ṵː	long creaky rounded close back vowel	tɕupṵːʈ, ṵː
v	v	voiced labio-dental fricative consonant	avda, avdaː, aːv
w	w	voiced labio-velar approximant consonant	abaw_aʒdaːd, abawaʒdaːt, adaːk_aχpəl_wom
ws	w s	voiced labio-velar approximant consonant	awstɛ, ɑwsɯn, ɑːwsun
wː	wː	long voiced labio-velar approximant consonant	nuwːeːʒ, sukawːu
x	x	voiceless velar fricative consonant	atət͡salweːxt, awxeː, brextow
xs	x s	voiceless velar fricative consonant	ɕaxs
y	y	rounded close front vowel	bir_d͡ʒyz_d͡ʒigirma, bir_d͡ʒyz_on, biʒi_dy
yæː	y æː	rounded close front vowel	ɕyæː
yː	yː	long rounded close front vowel	bestyːn, dyʃtyː_braː, dyʃtyː_jej
yːi	yː i	rounded close front vowel	dyːwiʃije_dyːi, wiʃije_dyːi
ỹː	ỹː	long nasalized rounded close front vowel	kỹːɽ
z	z	voiced alveolar sibilant fricative consonant	ama_zuːs, ama_zuːs_uduχt, amajzɑːt
zs	z s	voiced alveolar sibilant fricative consonant	poːzstəm_sawa, pɑːnzstəm_la_deːra, soːzsãː_gʰarwaːl
zw	z w	labialized voiced alveolar sibilant fricative consonant	maːmaː_zweː, maːʃuː_zweː, meːrə_zweː
zʰ	zʰ	aspirated voiced alveolar sibilant fricative consonant	mʰal_zʰaː_bʰijũː, sazʰiːɽʰ, sazʰuːɽʰ
zʲ	zʲ	palatalized voiced alveolar sibilant fricative consonant	zʲeo, zʲew, zʲuʈʰ
z̥	z̥	devoiced voiced alveolar sibilant fricative consonant	biz̥, jʉldəz̥
äː	äː	long centralized unrounded open front vowel	maːmas_paːnt͡ʃe_[päːnje]
æ	æ	unrounded near-open front vowel	biʒi_buːdæʃ, biʒi_pændæʃ, biʒi_quːdæʃ
æː	æː	long unrounded near-open front vowel	hæːd, kərijæːla, kərijæːli
æ̃ː	æ̃ː
ɔ̃ː	ɔ̃ː
ŋː	ŋː
ɪː	ɪː
tɕː	tsː
zː	zː
ɕː	ɕː
gː	gː
ç	ç	voiceless palatal sibilant fricative consonant	juː_o_çiraj, juː_o_çiraj_siferiː, lə_o_çiraj
ð	ð	voiced dental fricative consonant	buː_bistet_ðas, buː_wiste_ðas, buː_wiste_ɕaːð
ø	ø	rounded close-mid front vowel	amaː_ba_duʃʈøg, beløm, biʒi_trøbæʃ
øː	øː	long rounded close-mid front vowel	barøː, bjøː, køːrgøn
ħ	ħ	voiceless pharyngeal fricative consonant	les_loħ, lewisto_loħ, loħ
ŋ	ŋ	voiced velar nasal consonant	apaŋ, apí_áŋo, ariːŋ
ŋs	ŋ s	voiced velar nasal consonant	gjanaŋst͡ʃu
ŋw	ŋ w	voiced velar nasal consonant	áŋweː_apí, boŋwêː_zgijukmôː, boŋwêː_zgijukpʰôː
ŋŋ	ŋː	voiced velar nasal consonant	ʒaŋŋa
œ	œ
ɑ	ɑ	unrounded open back vowel	anbɑʁ, apɑχt, bɑd͡ʒa
ɑː	ɑː	long unrounded open back vowel	ad͡ʒdɑːd, aftɑːd, almant͡ʃɑː_aməɻwaj
ɑːe	ɑː e	unrounded open back vowel	mɑːmɑːestam_zajbiː, pɑːegɑː_bandɑː
ɑːeː	ɑː eː	unrounded open back vowel	pɑːeːreːm
ɑːi	ɑː i	from long unrounded open back to unrounded close front diphthong	awar_ɑːi, bɽən_ɑːi, iχɑːi_kata
ɑːiː	ɑː iː	unrounded open back vowel	bat͡ʃaj_taʁɑːiː, duχtari_taʁɑːiː, iɕnɑːiː
ɑ̃	ɑ̃	nasalized unrounded open back vowel	daːʃ_teː_pɑ̃d͡ʒ_biʃ, dzɑ̃, pɑ̃d͡ʒ
